PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
10,Sampdoria,26,9,6,11,3,32,33,30,14,12,2,4,6,-11,10,10,21,0.83,1.23,-0.4,2012-2013
11,Parma FC,26,8,8,10,-3,32,32,35,10,12,5,2,5,2,17,13,11,1.42,1.23,0.19,2012-2013
12,Torino FC,26,7,11,8,0,31,32,32,16,12,1,5,6,-9,8,14,23,0.67,1.19,-0.52,2012-2013
13,Cagliari Calcio,26,8,7,11,-12,31,32,44,11,12,4,4,4,0,16,11,11,1.33,1.19,0.14,2012-2013
14,Bologna FC,26,8,5,13,-1,29,35,36,13,12,3,6,3,-5,15,11,16,1.25,1.12,0.13,2012-2013
15,Chievo Verona,26,8,5,13,-16,29,26,42,12,12,4,4,4,1,16,11,10,1.33,1.12,0.21,2012-2013
16,Atalanta,26,8,5,13,-14,27,24,38,15,12,3,4,5,-3,13,15,18,1.08,1.04,0.04,2012-2013
17,Genoa CFC,26,6,8,12,-11,26,26,37,17,12,2,6,4,-3,12,12,15,1.0,1.0,0.0,2012-2013
18,AC Siena,26,7,6,13,-10,21,27,37,19,12,2,3,7,-11,9,9,20,0.75,0.81,-0.06,2012-2013
19,Pescara Calcio,26,6,3,17,-33,21,20,53,20,12,0,1,11,-24,1,7,31,0.08,0.81,-0.73,2012-2013
20,US Palermo,26,3,11,12,-17,20,22,39,18,12,3,3,6,-3,12,12,15,1.0,0.77,0.23,2012-2013
1,AC Milan,26,16,6,4,31,54,53,22,2,12,8,2,2,10,26,21,11,2.17,2.08,0.09,2011-2012
2,Juventus,26,13,13,0,22,52,39,17,1,12,10,2,0,26,32,29,3,2.67,2.0,0.67,2011-2012
3,Lazio Roma,26,14,6,6,11,48,41,30,4,12,4,2,6,-2,14,15,17,1.17,1.85,-0.68,2011-2012
4,Udinese Calcio,26,13,7,6,14,46,37,23,3,12,5,3,4,3,18,15,12,1.5,1.77,-0.27,2011-2012
5,SSC Napoli,26,11,10,5,19,43,44,25,5,12,5,3,4,1,18,22,21,1.5,1.65,-0.15,2011-2012
6,AS Roma,26,11,5,10,6,38,39,33,7,12,5,3,4,0,18,21,21,1.5,1.46,0.04,2011-2012
7,Inter,26,11,4,11,0,37,36,36,6,12,6,3,3,3,21,22,19,1.75,1.42,0.33,2011-2012
8,Calcio Catania,26,8,11,7,-1,35,34,35,11,12,3,4,5,-4,13,13,17,1.08,1.35,-0.27,2011-2012
9,US Palermo,26,10,4,12,-4,34,39,43,16,12,1,6,5,-6,9,13,19,0.75,1.31,-0.56,2011-2012
10,Chievo Verona,26,9,7,10,-9,34,22,31,10,12,3,6,3,-1,15,13,14,1.25,1.31,-0.06,2011-2012
11,Atalanta,26,9,11,6,2,32,30,28,12,12,4,2,6,-4,14,11,15,1.17,1.23,-0.06,2011-2012
12,ACF Fiorentina,26,8,8,10,0,32,27,27,13,12,3,5,4,-6,14,10,16,1.17,1.23,-0.06,2011-2012
13,Bologna FC,26,8,8,10,-4,32,26,30,9,12,5,4,3,2,19,15,13,1.58,1.23,0.35,2011-2012
14,Genoa CFC,26,9,5,12,-13,32,35,48,17,12,2,4,6,-6,10,15,21,0.83,1.23,-0.4,2011-2012
15,Cagliari Calcio,26,7,10,9,-6,31,23,29,15,12,3,3,6,-3,12,14,17,1.0,1.19,-0.19,2011-2012
16,Parma FC,26,7,9,10,-9,30,32,41,8,12,8,2,2,10,26,22,12,2.17,1.15,1.02,2011-2012
17,AC Siena,26,7,8,11,2,29,30,28,14,12,4,3,5,-2,15,15,17,1.25,1.12,0.13,2011-2012
18,US Lecce,26,6,7,13,-12,25,30,42,18,12,2,5,5,-4,11,10,14,0.92,0.96,-0.04,2011-2012
19,AC Cesena,26,4,5,17,-24,17,16,40,20,12,0,5,7,-12,5,8,20,0.42,0.65,-0.23,2011-2012
20,Novara Calcio,26,3,8,15,-25,17,21,46,19,12,4,3,5,-5,15,14,19,1.25,0.65,0.6,2011-2012
1,AC Milan,26,16,7,3,26,55,46,20,1,12,8,3,1,15,27,19,4,2.25,2.12,0.13,2010-2011
2,SSC Napoli,26,16,4,6,19,52,41,22,3,12,5,3,4,1,18,18,17,1.5,2.0,-0.5,2010-2011
3,Inter,26,15,5,6,18,50,47,29,2,12,8,2,2,9,26,22,13,2.17,1.92,0.25,2010-2011
