PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
5,Eintracht Frankfurt,25,11,6,8,3,39,38,35,6,9,3,3,3,0,12,11,11,1.33,1.56,-0.23,2012-2013
6,Hamburger SV,25,11,5,9,-3,38,30,33,7,9,3,1,5,-8,10,12,20,1.11,1.52,-0.41,2012-2013
7,1. FSV Mainz 05,25,10,7,8,4,37,33,29,13,9,0,5,4,-6,5,9,15,0.56,1.48,-0.92,2012-2013
8,SC Freiburg,25,9,9,7,4,36,32,28,5,9,5,0,4,1,15,13,12,1.67,1.44,0.23,2012-2013
9,Bor. Mönchengladbach,25,8,11,6,-1,35,34,35,8,9,4,0,5,-3,12,11,14,1.33,1.4,-0.07,2012-2013
10,Hannover 96,25,10,4,11,2,34,47,45,9,9,3,2,4,-4,11,13,17,1.22,1.36,-0.14,2012-2013
11,1. FC Nürnberg,25,7,10,8,-6,31,26,32,10,9,4,1,4,-2,13,13,15,1.44,1.24,0.2,2012-2013
12,VfL Wolfsburg,25,8,6,11,-10,30,29,39,11,9,2,7,0,5,13,18,13,1.44,1.2,0.24,2012-2013
13,Werder Bremen,25,8,5,12,-9,29,40,49,14,9,0,5,4,-7,5,10,17,0.56,1.16,-0.6,2012-2013
14,VfB Stuttgart,25,8,5,12,-17,29,26,43,12,9,4,2,3,-1,14,11,12,1.56,1.16,0.4,2012-2013
15,Fortuna Düsseldorf,25,7,7,11,-4,28,31,35,17,9,0,2,7,-14,2,8,22,0.22,1.12,-0.9,2012-2013
16,FC Augsburg,25,4,9,12,-16,21,22,38,15,9,4,0,5,-2,12,11,13,1.33,0.84,0.49,2012-2013
17,1899 Hoffenheim,25,5,4,16,-19,19,30,49,16,9,3,3,3,-6,12,12,18,1.33,0.76,0.57,2012-2013
18,SpVgg Greuther Fürth,25,2,8,15,-26,14,14,40,18,9,2,1,6,-8,7,12,20,0.78,0.56,0.22,2012-2013
1,Borussia Dortmund,25,17,5,3,36,56,52,16,1,9,8,1,0,19,25,28,9,2.78,2.24,0.54,2011-2012
2,Bayern München,25,16,3,6,41,51,58,17,2,9,7,1,1,14,22,19,5,2.44,2.04,0.4,2011-2012
3,Bor. Mönchengladbach,25,14,6,5,22,48,37,15,4,9,3,3,3,3,12,12,9,1.33,1.92,-0.59,2011-2012
4,FC Schalke 04,25,15,2,8,21,47,54,33,3,9,5,2,2,9,17,20,11,1.89,1.88,0.01,2011-2012
5,Bayer Leverkusen,25,11,7,7,6,40,38,32,5,9,4,2,3,2,14,14,12,1.56,1.6,-0.04,2011-2012
6,Werder Bremen,25,11,6,8,2,39,40,38,9,9,0,3,6,-11,3,9,20,0.33,1.56,-1.23,2011-2012
7,Hannover 96,25,8,11,6,-5,35,30,35,7,9,4,1,4,1,13,11,10,1.44,1.4,0.04,2011-2012
8,VfB Stuttgart,25,9,6,10,8,33,41,33,6,9,6,2,1,9,20,22,13,2.22,1.32,0.9,2011-2012
9,1. FC Nürnberg,25,9,4,12,-10,31,24,34,10,9,3,2,4,-1,11,14,15,1.22,1.24,-0.02,2011-2012
10,VfL Wolfsburg,25,9,4,12,-15,31,31,46,8,9,4,1,4,2,13,16,14,1.44,1.24,0.2,2011-2012
11,1. FSV Mainz 05,25,7,9,9,-2,30,37,39,13,9,2,3,4,-2,9,10,12,1.0,1.2,-0.2,2011-2012
12,1899 Hoffenheim,25,7,9,9,-7,30,28,35,11,9,3,2,4,1,11,13,12,1.22,1.2,0.02,2011-2012
13,1. FC Köln,25,8,4,13,-14,28,32,46,17,9,0,2,7,-22,2,7,29,0.22,1.12,-0.9,2011-2012
14,Hamburger SV,25,6,9,10,-16,27,29,45,15,9,2,3,4,-6,9,6,12,1.0,1.08,-0.08,2011-2012
15,FC Augsburg,25,4,11,10,-14,23,25,39,14,9,4,3,2,1,15,11,10,1.67,0.92,0.75,2011-2012
16,Hertha BSC,25,5,8,12,-15,23,26,41,16,9,2,2,5,-11,8,12,23,0.89,0.92,-0.03,2011-2012
17,SC Freiburg,25,5,7,13,-22,22,30,52,12,9,5,3,1,6,18,15,9,2.0,0.88,1.12,2011-2012
18,1. FC Kaiserslautern,25,3,11,11,-16,20,16,32,18,9,1,0,8,-14,3,8,22,0.33,0.8,-0.47,2011-2012
1,Borussia Dortmund,25,19,4,2,39,61,53,14,1,9,4,2,3,6,14,14,8,1.56,2.44,-0.88,2010-2011
2,Bayer Leverkusen,25,14,7,4,19,49,53,34,2,9,6,1,2,1,19,11,10,2.11,1.96,0.15,2010-2011
3,Hannover 96,25,15,2,8,5,47,37,32,4,9,4,1,4,-1,13,12,13,1.44,1.88,-0.44,2010-2011
4,1. FSV Mainz 05,25,14,1,10,9,43,41,32,5,9,4,3,2,4,15,11,7,1.67,1.72,-0.05,2010-2011
5,Bayern München,25,12,6,7,18,42,51,33,3,9,7,2,0,23,23,30,7,2.56,1.68,0.88,2010-2011
6,1. FC Nürnberg,25,11,6,8,7,39,39,32,6,9,2,2,5,-5,8,8,13,0.89,1.56,-0.67,2010-2011
7,Hamburger SV,25,11,4,10,1,37,37,36,8,9,1,5,3,-7,8,9,16,0.89,1.48,-0.59,2010-2011
8,SC Freiburg,25,11,4,10,-2,37,32,34,9,9,2,1,6,-7,7,9,16,0.78,1.48,-0.7,2010-2011
9,1899 Hoffenheim,25,8,9,8,4,33,41,37,11,9,3,1,5,-4,10,9,13,1.11,1.32,-0.21,2010-2011
10,FC Schalke 04,25,8,6,11,-1,30,29,30,14,9,3,1,5,-5,10,9,14,1.11,1.2,-0.09,2010-2011
11,1. FC Köln,25,8,5,12,-12,29,31,43,10,9,5,0,4,-3,15,16,19,1.67,1.16,0.51,2010-2011
12,Eintracht Frankfurt,25,8,4,13,-10,28,24,34,17,9,1,3,5,-8,6,7,15,0.67,1.12,-0.45,2010-2011
13,FC St. Pauli,25,8,4,13,-16,28,27,43,18,9,0,1,8,-17,1,8,25,0.11,1.12,-1.01,2010-2011
14,Werder Bremen,25,7,7,11,-18,28,33,51,13,9,3,4,2,4,13,14,10,1.44,1.12,0.32,2010-2011
15,VfL Wolfsburg,25,6,8,11,-8,26,29,37,15,9,3,3,3,3,12,14,11,1.33,1.04,0.29,2010-2011
16,VfB Stuttgart,25,7,4,14,-4,25,43,47,12,9,5,2,2,5,17,17,12,1.89,1.0,0.89,2010-2011
17,1. FC Kaiserslautern,25,6,7,12,-9,25,33,42,7,9,7,0,2,6,21,15,9,2.33,1.0,1.33,2010-2011
18,Bor. Mönchengladbach,25,6,4,15,-22,22,37,59,16,9,4,2,3,5,14,11,6,1.56,0.88,0.68,2010-2011
